P1,P2,P3,P4,P5,Predict-P1,Predict-P2,Predict-P3,Predict-P4,Predict-P5
82.69408320000001,4.5856553600000005,-109.66813744,41.24654816,73.20819576,81.6512,4.4442906,-109.67058,44.95758,70.788994
83.22097816,5.05442048,-109.18740424,41.65943904,73.64355687999999,82.35239,5.0141153,-109.23354,45.23194,71.235954
83.51534632,5.27618808,-108.95239688,41.799792,73.83564584,81.78004,4.884663,-108.847626,45.536385,71.63683
83.96178936,5.68173584,-108.54754936,42.1148268,74.30061896000001,82.93332,5.276484,-108.49741,45.760143,71.98532
84.03997536000001,5.74282424,-108.43802752,42.07516952,74.34785624,82.086426,6.010568,-108.13564,45.986702,72.32933
84.2904836,5.91932408,-108.14470472,42.22437848,74.49422264,83.4623,5.9607687,-107.959045,46.0488,72.53326
84.41945496,5.933300880000001,-108.011558,42.23691464,74.57395224,82.68863,6.1126704,-107.76742,46.1291,72.69111
84.68830864,6.12433376,-107.7669264,42.43654024000001,74.74108632,83.958534,6.840341,-107.56315,46.216267,72.85648
84.90827608,6.36352336,-107.484352,42.71128184,74.8684436,83.37219,6.933194,-107.379234,46.391033,73.00355
85.07891104000001,6.64122504,-107.16032952,43.02159104,75.09676544,84.25542,6.9425693,-107.12724,46.671165,73.2326
85.3244052,6.978102,-106.78867264,43.4285944,75.39712408,83.85773,7.653243,-106.806816,46.996696,73.48771
85.3969016,7.19930288,-106.54284944,43.68182912,75.54930072,84.318054,7.898615,-106.4735,47.33879,73.75173
85.30819831999999,7.33620752,-106.42351584,43.79362624,75.61713832000001,84.22905,7.815399,-106.28963,47.628757,73.938675
85.48442552,7.640661199999999,-106.14224872,44.0824176,75.78985712,84.33338,8.422104,-106.15773,47.864372,74.1248
85.62184687999999,7.884330639999999,-105.926354,44.31666376,75.98990408,84.59192,8.781346,-105.94436,48.08194,74.29359
85.64099104,7.956701440000001,-105.8405808,44.43001176,76.12905584,84.52306,8.6275215,-105.799355,48.275,74.43385
85.66171544000001,8.01493896,-105.72854824,44.59040952,76.24588743999999,84.8753,9.041815,-105.731606,48.526638,74.68095
85.91912248,8.28477488,-105.37807256,45.017896,76.65854632,84.53125,9.470441,-105.64628,48.782658,74.91176
86.03718495999999,8.40569128,-105.15385256,45.27306336,76.90220712,85.08954,9.291158,-105.3845,49.058502,75.183815
85.90125704,8.2883956,-105.12648136,45.2506284,76.9198116,84.71892,9.456,-105.22609,49.284878,75.39536
85.93900767999999,8.32587376,-104.96720328,45.35520968,77.08748288,85.17589,9.9441805,-105.21835,49.484684,75.63557
86.20358624,8.51260288,-104.67443712,45.67570184,77.44900064000001,84.86576,9.783529,-105.15479,49.648643,75.8134
86.27693208000001,8.51726776,-104.5690228,45.779757200000006,77.63786879999999,85.37386,9.779399,-104.93564,49.838974,76.06657
86.36589760000001,8.59292792,-104.38769528,45.88536456,77.87369968,85.18056,10.309332,-104.81906,49.99204,76.308586
86.43540912,8.633119520000001,-104.17819368,45.97042984,78.07760223999999,85.44422,10.298975,-104.72179,50.185596,76.58389
86.65125096,8.84533192,-103.82539584,46.24438128,78.39866056,85.33986,10.184359,-104.591675,50.375305,76.81668
86.80273352,9.06460096,-103.5273784,46.61676432,78.68104408,85.44234,10.734586,-104.2967,50.66742,77.129715
86.86982392,9.29024288,-103.24510672,46.90080096,78.92693152,85.46299,10.899509,-104.05022,51.02178,77.412445
86.78444768,9.45815456,-103.03242304,47.10504448,79.09671176,85.378555,10.751661,-103.87667,51.34707,77.634285
86.57131872,9.5708436,-102.90594416,47.24832752,79.18033624,85.561714,11.251835,-103.71246,51.580017,77.78192
86.12590784,9.45807656,-103.0287724,47.23602656,79.0606936,85.37909,11.6201105,-103.676125,51.70737,77.819756
85.83134568,9.42696192,-103.06476344,47.3473644,79.0726836,85.77274,11.317336,-103.85853,51.790955,77.78417
85.75847776,9.6129388,-102.91706272,47.68290160000001,79.26271272,85.31722,11.580039,-103.95634,52.00022,77.829834
85.92721144,10.036992,-102.58413872,48.2501548,79.64537808,85.763054,12.145601,-103.81263,52.354195,78.01052
85.94810136,10.29103616,-102.40207728,48.67087512,79.93386496,85.13296,11.991599,-103.60501,52.78532,78.19168
